Movie,Abby's Rating,Elizabeth's Rating,Logan's Rating,Total Score,Bechdel Test?
Labyrinth,3.5,3,3,3.166666667,N
The Social Network,3,4,4,3.666666667,N
While You Were Sleeping,3,3,3.5,3.166666667,Y
7 Women and a Murder,3.5,3,3.5,3.333333333,Y
Elizabethtown,3.5,3,4,3.5,Y
The Bodyguard,4,4,4,4,Y
Peggy Sue Got Married,3.5,2.5,3.5,3.166666667,Y
Flashdance,3,3,3,3,Y
13,4,3,3,3.333333333,Y
Fight club ,3.5,3.5,3.5,3.5,N
Grand Budapest Hotel,3.5,3.5,4,3.666666667,N
Practical Magic,3,3,3,3,Y
Josie and the Pussycats,4.5,4,5,4.5,Y
Almost Famous ,3,3.5,4,3.5,Y
Nice Guys,3,3,4,3.333333333,Y
Prom Pact,4.5,3,4,3.833333333,Y
9 to 5,3.5,4.5,4.5,4.166666667,Y
The Super Mario Bros Movie,4,4,4,4,N
Dungeons & Dragons: Honor among Thieves ,4,3.5,3.5,3.666666667,Y
High Strung,4.5,2.5,2,3,Y
High Fidelity,3,3,3.5,3.166666667,N
Shawshank Redemption,3.5,4.5,4.5,4.166666667,N
Suzume,4.5,4.5,4.5,4.5,Y
Death on the Nile,2.5,2.5,2.5,2.5,Y
That Thing You Do,3.5,3,3.5,3.333333333,N
Pitch Perfect,4.5,4.5,3.5,4.166666667,Y
Terminator 2: Judgment Day,4,3,4,3.666666667,N
Across the Spiderverse,5,4.5,4.5,4.666666667,Y
Footloose (1984),4.5,4,4,4.166666667,Y
Portrait of a Lady on Fire,4,4,4,4,Y
2001: A Space Odyssey,3.5,3.5,4.5,3.833333333,N
Contact,3,3,4.5,3.5,Y
"What's Up, Doc?",4.5,4.5,4.5,4.5,N
Asteroid City,3.5,4,4,3.833333333,Y
Hairspray (2007),3.5,3,3,3.166666667,Y
Men in Black,3.5,2.5,3.5,3.166666667,N
Sister Act,3,3,4,3.333333333,Y
Mission Impossible: Dead Reckoning Part 1,3.5,3.5,4,3.666666667,N
Moonlight,3.5,4,4,3.833333333,N
Barbie,4,4,4.5,4.166666667,Y
Inception,3.5,3.5,5,4,N
Cocktail,3,3,3,3,N
Two Weeks Notice,3,3.5,3.5,3.333333333,Y
The Iron Giant,3.5,3.5,5,4,N
Life of Pi,3,3,3.5,3.166666667,N
Theater Camp,4,4,4.5,4.166666667,Y
Bottoms,4,3.5,3.5,3.666666667,Y
Catch Me If You Can,4,3.5,3.5,3.666666667,N
Aristotle and Dante Discover the Secrets of the Universe,3.5,3,4.5,3.666666667,N
Top Hat,3.5,3,4,3.5,N
The Holiday,3,3.5,3,3.166666667,Y
Meet Me in St Louis,3.5,4,5,4.166666667,Y
The Young Girls of Rochefort,3.5,4,3.5,3.666666667,Y
Gattaca,3,3.5,4,3.5,N
Yentl,4,4,3.5,3.833333333,N
The Last Mimzy,3,2.5,3,2.833333333,Y
Whip It,3,3.5,4.5,3.666666667,Y
Working Girl,3,3.5,3,3.166666667,Y
Erin Brokovitch ,3,3.5,4,3.5,Y
Chicago,4,4,2.5,3.5,Y
Crazy Stupid Love,3.5,3.5,4.5,3.833333333,Y
A Star is Born,2.5,2.5,2.5,2.5,N
Dirty Dancing,4,5,4,4.333333333,Y
My Big Fat Greek Wedding,3.5,3,3.5,3.333333333,Y
Gentlemen Prefer Blondes,3.5,3.5,4,3.666666667,Y
Cruel Intentions,3.5,3,3,3.166666667,Y
The Boy and the Heron,3,2.5,4,3.166666667,Y
Wuthering Heights (2011),2.5,2,3,2.5,Y
Ghost ,4,3.5,4.5,4,N
,,,,,
,,,,#DIV/0!,
