Movie,Date Watched,Location,Abby's Rating,Elizabeth's Rating,Logan's Rating,Total Score,Bechdel Test?
Fallen Leaves,1/6/26,House,3,3.5,3.5,3.333333333,N
Penelope,1/15/26,House,4,3.5,3.5,3.666666667,Y
Jennifer's Body,1/26,House,4,3,4,3.666666667,Y
All About Eve,2/4,House,4,4,4,4,Y
Waiting for Guffman,2/24,House,3.5,3,4,3.5,Y
La La Land,3/10,House,4.5,4,4.5,4.333333333,Y
Confessions of a Shopaholic,3/17,House,3.5,3,3.5,3.333333333,Y
Project Hail Mary,3/21,Filmscene,4,4,4,4,N
Twisters,3/26,House,3.5,3.5,3.5,3.5,Y
The Super Mario Galaxy Movie,4/4/26,Waverly Theater,3,3,2.5,2.833333333,Y
,,,,,,#DIV/0!,
,,,,,,#DIV/0!,
,,,,,,#DIV/0!,
,,,,,,#DIV/0!,
,,,,,,#DIV/0!,
,,,,,,#DIV/0!,
,,,,,,#DIV/0!,
,,,,,,#DIV/0!,
